carat,cut,color,clarity,depth,table,price,x,y,z
0.91,Very Good,D,SI1,63,59,4429,6.11,6.15,3.86
1.01,Very Good,D,I1,63.4,61,2291,6.38,6.3,4.02
0.33,Ideal,D,VS2,60.3,55,667,4.5,4.52,2.72
0.27,Ideal,D,VVS1,61.9,57,799,4.18,4.15,2.58
0.3,Premium,D,VS2,61.7,59,911,4.28,4.25,2.63
0.42,Premium,D,SI2,62.1,59,898,4.82,4.78,2.98
1.3,Ideal,D,SI1,62.2,56,9275,6.98,6.94,4.33
0.51,Ideal,D,VS2,61.2,55,1787,5.16,5.18,3.16
0.53,Ideal,D,VS1,61.6,56,2340,5.23,5.19,3.21
0.51,Very Good,D,SI1,63.5,56,1574,5.08,5.06,3.22
0.79,Premium,D,SI2,61.8,58,2735,5.95,5.89,3.66
0.5,Very Good,D,SI1,63.4,56,1354,5.01,5.06,3.19
0.46,Very Good,D,VS2,61.2,57,1321,4.96,5,3.05
1.03,Premium,D,VS1,59.6,61,6974,6.62,6.57,3.93
0.63,Ideal,D,SI1,62,56,1992,5.55,5.48,3.42
0.52,Ideal,D,VS2,62.6,56,1919,5.14,5.11,3.21
0.59,Ideal,D,SI1,61.6,57,1835,5.44,5.41,3.34
0.41,Ideal,D,VS2,61.6,55,1007,4.74,4.77,2.93
0.5,Premium,D,SI1,62.2,57,1654,5.11,5.08,3.17
0.31,Ideal,D,SI1,61.8,57,571,4.32,4.36,2.68
1.52,Very Good,D,SI2,59.1,58,9781,7.45,7.48,4.41
0.34,Premium,D,SI2,59.2,59,650,4.58,4.54,2.7
1.03,Ideal,D,SI2,60.7,55,4839,6.61,6.53,3.99
0.32,Very Good,D,VVS2,60,57,809,4.45,4.49,2.68
0.52,Ideal,D,VS2,61,57,1774,5.18,5.21,3.17
0.43,Very Good,D,SI2,63.1,59,858,4.81,4.8,3.03
1,Premium,D,VS2,59.6,60,6868,6.57,6.52,3.9
1,Premium,D,SI1,61.4,58,5096,6.4,6.34,3.91
0.96,Very Good,D,SI2,60.2,63,3419,6.36,6.3,3.81
0.4,Premium,D,SI1,61.7,58,772,4.7,4.74,2.91
0.46,Very Good,D,VVS1,61.6,59,1993,4.92,4.97,3.05
0.73,Ideal,D,SI1,61.4,56,2995,5.78,5.82,3.56
1.03,Good,D,SI1,64.3,58,4441,6.31,6.28,4.05
0.51,Ideal,D,VS1,61.6,57,1962,5.13,5.16,3.17
0.59,Ideal,D,SI1,61,57,1912,5.46,5.43,3.32
0.36,Ideal,D,VVS1,61.5,55,1718,4.61,4.63,2.84
0.31,Ideal,D,SI1,61.5,56,732,4.35,4.33,2.67
0.42,Premium,D,SI1,61.1,60,1040,4.83,4.79,2.94
0.36,Ideal,D,VS2,61.8,56,1094,4.6,4.56,2.83
0.31,Ideal,D,VS2,61.8,56,734,4.32,4.36,2.68
0.74,Good,D,SI1,63.1,59,2753,5.71,5.74,3.61
0.31,Ideal,D,VS2,61.5,56,942,4.37,4.34,2.68
0.53,Ideal,D,VS2,61.5,56,1956,5.23,5.17,3.2
0.34,Ideal,D,SI1,62,56,803,4.5,4.47,2.78
0.35,Ideal,D,SI2,62.2,56,669,4.55,4.52,2.82
0.43,Very Good,D,SI2,63.4,57,858,4.81,4.78,3.04
0.23,Very Good,D,VVS2,63.5,58,485,3.86,3.89,2.46
0.3,Premium,D,SI1,58.8,57,662,4.44,4.4,2.6
0.5,Very Good,D,SI1,58.5,60,1436,5.13,5.19,3.02
1.01,Good,D,SI2,65.1,57,4468,6.27,6.32,4.1
0.71,Fair,D,VS2,64.7,58,3077,5.61,5.58,3.62
0.75,Ideal,D,SI1,61.1,56,3712,5.85,5.9,3.59
0.74,Ideal,D,VS2,61.4,58,3668,5.8,5.83,3.57
0.7,Ideal,D,VVS2,60.9,59,3737,5.69,5.73,3.48
0.71,Premium,D,SI1,59.7,59,2913,5.8,5.82,3.47
0.25,Very Good,D,VVS2,59.5,56,696,4.14,4.19,2.48
0.9,Ideal,D,SI1,62.6,55,4819,6.1,6.16,3.84
0.72,Ideal,D,SI1,60.8,57,2782,5.76,5.75,3.5
0.67,Good,D,SI1,63.8,57,2258,5.53,5.48,3.51
0.7,Very Good,D,VS1,60.3,58,4095,5.76,5.79,3.48
0.43,Very Good,D,VS2,59.1,58,931,4.92,4.96,2.92
0.3,Good,D,VVS2,61.6,63,719,4.23,4.27,2.62
0.41,Ideal,D,VS1,61.8,57,1151,4.75,4.8,2.95
0.46,Ideal,D,VS2,62.7,57,1388,4.93,4.89,3.08
0.3,Ideal,D,VS2,62,56,911,4.35,4.33,2.69
1,Premium,D,SI2,60.8,60,4295,6.45,6.41,3.91
0.33,Premium,D,VS2,61.2,58,1002,4.44,4.41,2.71
1.16,Ideal,D,SI2,62.1,54,5793,6.74,6.79,4.2
0.3,Very Good,D,VS1,63.2,59,707,4.26,4.29,2.7
0.33,Very Good,D,SI1,62.8,55,608,4.41,4.45,2.78
0.6,Premium,D,SI2,62,57,1196,5.43,5.35,3.34
0.53,Premium,D,VS2,60.2,58,1904,5.26,5.23,3.16
1,Premium,D,SI1,59.6,57,5880,6.54,6.44,3.87
0.9,Very Good,D,VS2,60.9,62,4804,6.11,6.18,3.74
0.31,Ideal,D,VS2,59.4,57,685,4.45,4.5,2.66
0.71,Premium,D,VS2,62.1,60,2950,5.72,5.68,3.54
1.03,Very Good,D,SI1,61.8,57,5393,6.49,6.53,4.02
0.4,Ideal,D,SI1,59.6,57,990,4.82,4.77,2.86
0.52,Ideal,D,SI1,62.4,57,1600,5.14,5.18,3.22
0.5,Premium,D,VS2,61.1,58,1683,5.18,5.09,3.14
0.46,Ideal,D,VS1,61.6,57,1637,4.95,4.98,3.06
0.38,Ideal,D,VS1,62.4,56,1170,4.68,4.64,2.91
0.51,Very Good,D,VS2,63.5,56,1793,5.1,5.07,3.23
0.51,Good,D,SI2,63.8,56,1180,5.07,5.09,3.24
0.42,Ideal,D,VVS2,62.5,57,1389,4.8,4.77,2.99
0.23,Very Good,D,VVS2,62.5,58,530,3.92,3.95,2.46
1.04,Ideal,D,VVS2,60.9,57,11511,6.54,6.6,4
0.7,Fair,D,VS2,65.2,59,2560,5.58,5.55,3.63
1.01,Fair,D,VS2,65.6,61,6176,6.21,6.16,4.06
0.32,Ideal,D,VS2,62.6,55,758,4.37,4.39,2.74
1.03,Very Good,D,SI2,63.7,56,4580,6.32,6.39,4.05
0.5,Premium,D,SI1,62.2,58,1272,5.08,5.12,3.17
1.01,Premium,D,SI2,58,60,3604,6.58,6.53,3.8
0.34,Premium,D,VS2,60.4,60,805,4.51,4.56,2.74
0.4,Good,D,SI2,63.8,54,798,4.73,4.7,3.01
1.04,Very Good,D,SI2,62.9,58,5265,6.41,6.47,4.05
1,Ideal,D,SI2,62.7,58,5246,6.34,6.39,3.99
1.12,Ideal,D,VS1,61.1,57,9694,6.68,6.75,4.1
0.5,Good,D,SI1,62.9,59,1436,4.94,5.01,3.13
1.01,Ideal,D,SI2,62,57,4242,6.42,6.38,3.97
0.31,Ideal,D,VS2,62.2,56,734,4.32,4.33,2.69
0.41,Ideal,D,SI1,61.3,56,722,4.8,4.82,2.95
0.3,Very Good,D,VS2,62.9,59,710,4.22,4.27,2.67
0.37,Ideal,D,VVS2,62.4,56,857,4.56,4.64,2.87
0.32,Very Good,D,VS2,62.9,59,657,4.36,4.39,2.75
0.51,Very Good,D,SI2,62.8,57,1264,5.1,5.12,3.21
0.5,Ideal,D,VS2,60.7,57,1854,5.12,5.22,3.14
0.41,Premium,D,VVS2,61.9,59,1105,4.75,4.78,2.95
0.55,Ideal,D,SI1,60.6,56,1692,5.27,5.32,3.21
0.32,Ideal,D,SI1,60.9,56,589,4.4,4.43,2.69
0.73,Ideal,D,VVS2,62,53.6,4547,5.76,5.8,3.59
0.52,Ideal,D,VS2,62.3,56,1919,5.16,5.11,3.2
0.32,Ideal,D,VS2,61.9,55,758,4.39,4.43,2.73
0.53,Very Good,D,SI2,62.9,54,1314,5.13,5.17,3.24
0.54,Premium,D,SI1,62.3,60,1715,5.22,5.18,3.24
0.61,Very Good,D,VVS2,59.6,57,2763,5.56,5.58,3.32
0.38,Ideal,D,VVS2,61.2,57,1289,4.66,4.68,2.86
1.01,Premium,D,VS1,62.1,58,7575,6.4,6.37,3.97
1.07,Very Good,D,SI2,62.6,61,4861,6.42,6.49,4.04
0.9,Very Good,D,SI1,61.2,60,4381,6.14,6.19,3.77
0.5,Ideal,D,VS2,61.2,55,1808,5.12,5.07,3.12
0.3,Very Good,D,VS1,59.4,60,661,4.34,4.38,2.59
0.5,Premium,D,VS2,62.1,58,1752,5.03,5.08,3.14
0.5,Good,D,VS1,60.9,62,1657,5.05,5.06,3.08
0.92,Very Good,D,SI1,62.9,56,4676,6.18,6.22,3.9
0.54,Ideal,D,VS2,61.8,56,1993,5.24,5.21,3.23
0.31,Very Good,D,SI1,62.9,57,571,4.27,4.32,2.7
1.03,Good,D,SI1,60.1,62,5088,6.55,6.53,3.93
0.32,Ideal,D,SI1,62.1,54,715,4.4,4.45,2.75
1,Fair,D,SI2,64.8,60,3304,6.23,6.18,4.02
0.7,Good,D,SI1,64.2,60,2298,5.59,5.62,3.6
0.3,Very Good,D,VS1,62.1,58,742,4.25,4.29,2.65
0.51,Ideal,D,SI1,62.8,56,1687,5.09,5.07,3.19
1,Premium,D,SI2,61.6,60,4758,6.37,6.33,3.91
1.35,Ideal,D,VS2,61.3,57,10796,7.13,7.09,4.36
1.01,Very Good,D,SI1,59.1,61,4821,6.46,6.5,3.83
1.51,Very Good,D,SI2,61.7,59,10546,7.28,7.35,4.51
0.71,Premium,D,VS2,62.5,60,2770,5.65,5.61,3.52
0.31,Very Good,D,SI2,62.9,54,462,4.3,4.35,2.72
0.3,Ideal,D,SI1,62.1,54,552,4.31,4.35,2.69
0.38,Very Good,D,VVS2,60.8,55,944,4.67,4.71,2.85
0.4,Ideal,D,VS2,61.6,55,1226,4.75,4.79,2.94
0.41,Premium,D,VVS2,62.2,58,1181,4.8,4.78,2.98
1.13,Ideal,D,VS1,61.4,55,9448,6.72,6.74,4.13
0.41,Premium,D,VVS1,62.2,58,1413,4.77,4.71,2.95
0.31,Ideal,D,VS1,60.1,57,913,4.39,4.4,2.64
0.5,Ideal,D,SI2,62.3,54,1250,5.11,5.06,3.17
0.39,Ideal,D,VS1,61.9,57,1095,4.69,4.71,2.91
0.31,Ideal,D,SI1,61.5,55,692,4.38,4.4,2.7
0.5,Ideal,D,VVS2,60.4,54,2100,5.17,5.23,3.14
1,Premium,D,SI1,59.5,60,5488,6.49,6.42,3.84
0.28,Ideal,D,VVS1,61.7,57,608,4.2,4.23,2.6
1.02,Ideal,D,SI2,61.4,56,4946,6.42,6.57,3.99
0.92,Very Good,D,VVS2,62.8,58,7150,6.11,6.22,3.87
0.41,Ideal,D,SI1,60.5,57,744,4.81,4.85,2.92
0.39,Very Good,D,VVS1,63,60,1092,4.61,4.63,2.91
1.2,Very Good,D,SI2,63.1,57,5373,6.68,6.75,4.24
0.4,Premium,D,SI2,62.2,58,666,4.71,4.75,2.94
0.35,Premium,D,VS2,59.7,58,1063,4.61,4.57,2.74
0.61,Ideal,D,VVS1,62.3,54,3625,5.4,5.45,3.38
0.53,Ideal,D,SI1,62,57,1683,5.23,5.19,3.23
0.6,Premium,D,VS2,62.8,59,2037,5.39,5.35,3.37
0.3,Good,D,SI1,63.1,56,515,4.24,4.28,2.69
0.39,Very Good,D,VVS2,61.4,59,1056,4.69,4.73,2.89
0.5,Very Good,D,SI2,61.9,56,1167,5.09,5.14,3.16
0.51,Ideal,D,VS1,61.6,57,2066,5.16,5.13,3.17
0.41,Ideal,D,VS2,62.4,55,1076,4.79,4.76,2.98
0.52,Ideal,D,SI1,62.9,56,1605,5.16,5.11,3.23
1.18,Fair,D,SI2,57,66,3899,6.96,6.91,3.98
1.04,Very Good,D,VS1,62.3,59,8192,6.39,6.48,4.01
0.71,Very Good,D,VS2,63,58,3096,5.65,5.68,3.57
0.76,Premium,D,VS1,60.6,58,3894,5.95,5.89,3.59
0.23,Very Good,D,VVS2,62.5,58,492,3.89,3.92,2.44
1.54,Premium,D,SI1,63,59,13316,7.35,7.31,4.62
0.61,Ideal,D,VS2,62,56,2202,5.43,5.48,3.38
0.59,Ideal,D,SI1,61.6,57,1743,5.41,5.44,3.34
0.51,Ideal,D,VVS2,61.7,56,2742,5.16,5.14,3.18
0.9,Ideal,D,SI1,62.4,55,5656,6.15,6.19,3.85
0.9,Premium,D,SI2,61,61,3312,6.17,6.15,3.76
0.32,Ideal,D,VVS2,61.3,55.8,1048,4.43,4.44,2.71
0.3,Ideal,D,SI1,62.2,56,552,4.25,4.3,2.66
0.75,Premium,D,SI2,61.3,59,1858,5.88,5.83,3.59
0.53,Ideal,D,VS2,61.2,57,1857,5.2,5.26,3.2
1.3,Premium,D,SI2,60.2,59,7130,7.05,7,4.23
0.32,Ideal,D,VS1,61.4,57,814,4.4,4.43,2.71
2,Good,D,VS2,63.7,60,17760,7.88,7.81,5
1.06,Very Good,D,SI1,59.3,60,6062,6.64,6.71,3.96
0.72,Premium,D,SI2,62,60,2795,5.73,5.69,3.54
0.54,Very Good,D,VS2,60.5,59,1885,5.24,5.28,3.18
0.55,Very Good,D,VS2,62.2,60,1796,5.2,5.25,3.25
1.02,Premium,D,SI2,59.7,60,5198,6.58,6.55,3.92
0.32,Ideal,D,VS2,62.2,55,758,4.37,4.41,2.73
1.14,Very Good,D,SI2,59.2,61,4957,6.82,6.84,4.04
1.2,Ideal,D,VS2,61.4,55,9424,6.78,6.87,4.19
1.02,Ideal,D,SI1,62.2,56,6340,6.43,6.47,4
0.53,Very Good,D,VS2,63.2,56,1601,5.1,5.15,3.24
0.51,Premium,D,VS2,62,59,1807,5.12,5.08,3.16
0.39,Ideal,D,SI2,61.6,56,651,4.69,4.72,2.9
0.9,Fair,D,SI2,65.7,60,3205,5.98,5.93,3.91
1.27,Premium,D,SI1,62.5,58,8463,6.92,6.87,4.31
0.53,Ideal,D,VS2,60.9,57,1877,5.24,5.17,3.17
0.38,Ideal,D,VVS2,61.3,56,1257,4.73,4.63,2.87
0.3,Ideal,D,VS2,62.3,56,911,4.32,4.29,2.68
0.75,Very Good,D,SI1,61.8,57,3048,5.78,5.81,3.58
0.54,Very Good,D,SI1,62.1,58,1662,5.21,5.23,3.24
0.59,Ideal,D,SI2,62.4,58,1419,5.35,5.39,3.35
0.41,Ideal,D,VVS2,62.3,55,1295,4.76,4.77,2.97
0.7,Ideal,D,SI1,61.6,57,3471,5.69,5.74,3.52
1,Premium,D,SI1,62.1,58,5488,6.45,6.34,3.97
1,Good,E,SI2,63.7,61,3819,6.27,6.32,4.01
0.51,Ideal,E,VS2,61.7,53,1590,5.18,5.2,3.2
0.41,Good,E,SI1,63.5,55,654,4.73,4.75,3.01
0.4,Very Good,E,SI2,63.1,57,798,4.72,4.7,2.97
0.53,Ideal,E,VS2,62,56,1956,5.29,5.2,3.25
0.71,Premium,E,VVS1,62.5,57,3831,5.67,5.62,3.53
0.83,Very Good,E,SI1,63.5,58,3365,5.93,5.98,3.78
0.51,Ideal,E,SI1,62,55,1343,5.12,5.14,3.18
1,Premium,E,VS2,59.9,59,6272,6.45,6.38,3.84
0.33,Ideal,E,VS2,61.8,55,928,4.48,4.45,2.76
0.3,Ideal,E,SI2,62,54,401,4.33,4.35,2.69
1.06,Premium,E,VS2,61.4,60,7123,6.57,6.53,4.02
0.52,Ideal,E,VS2,61.1,57,1689,5.18,5.2,3.17
1.1,Ideal,E,SI2,61.6,56,5082,6.61,6.64,4.08
1.01,Good,E,SI1,63.2,59,5411,6.27,6.35,3.99
0.4,Good,E,SI1,63.7,56,882,4.69,4.66,2.98
1.01,Ideal,E,VS2,59.3,57,7240,6.57,6.51,3.88
0.75,Very Good,E,SI2,60.9,59,2383,5.83,5.9,3.57
0.26,Good,E,IF,59.6,61,597,4.13,4.16,2.47
1,Very Good,E,VS2,59.4,59,6377,6.44,6.46,3.83
0.52,Ideal,E,VS2,61.1,55,1689,5.2,5.27,3.2
1.5,Very Good,E,VS2,62.9,56,13892,7.31,7.22,4.57
0.3,Ideal,E,VS2,62,55,658,4.25,4.3,2.65
0.27,Ideal,E,VVS2,61.8,57,622,4.12,4.16,2.56
1.22,Ideal,E,SI2,62.7,57,6343,6.84,6.81,4.28
0.31,Ideal,E,VS1,61.6,55,722,4.39,4.41,2.71
0.41,Premium,E,VS2,59.8,60,935,4.83,4.87,2.9
0.28,Very Good,E,VVS2,61,57,707,4.22,4.25,2.58
0.6,Premium,E,VS2,62.7,58,1915,5.37,5.34,3.36
1,Premium,E,SI2,61.7,58,4620,6.34,6.39,3.93
0.53,Ideal,E,VS1,60.9,57,1827,5.25,5.19,3.18
0.34,Ideal,E,SI1,60.4,57,723,4.53,4.55,2.74
1.03,Ideal,E,VVS2,61.7,56,11611,6.49,6.51,4.01
0.3,Very Good,E,VS2,61.9,61,658,4.28,4.32,2.66
0.33,Ideal,E,IF,62.1,55,1289,4.43,4.46,2.76
1.36,Premium,E,SI2,61.1,58,7677,7.21,7.13,4.38
0.75,Premium,E,VS2,62.1,57,3024,5.9,5.79,3.63
0.3,Ideal,E,VS2,61.4,56,795,4.32,4.34,2.66
0.25,Very Good,E,VS2,63.3,60,404,4,4.03,2.54
0.44,Very Good,E,SI1,63.2,53,970,4.87,4.84,3.07
0.39,Ideal,E,VS2,60.4,56,985,4.73,4.7,2.85
0.9,Very Good,E,VS2,61.1,63,4134,6.17,6.2,3.78
0.33,Ideal,E,VS1,62.3,53.8,771,4.42,4.44,2.76
0.6,Very Good,E,VS2,62.9,59,2085,5.34,5.38,3.37
0.5,Fair,E,SI1,66.5,58,1098,4.87,4.9,3.25
0.7,Ideal,E,VS2,62.1,54,2839,5.69,5.72,3.54
0.53,Good,E,SI1,63.1,56,1355,5.15,5.19,3.26
0.27,Ideal,E,VVS2,62,55,622,4.12,4.14,2.56
0.31,Very Good,E,SI1,62.8,57,544,4.32,4.34,2.72
0.52,Very Good,E,SI2,61.8,54,1120,5.15,5.18,3.19
0.52,Ideal,E,SI1,61.4,57,1429,5.18,5.15,3.17
0.5,Premium,E,SI2,62.4,59,1097,5.09,5,3.15
0.39,Ideal,E,VS2,61.4,55,734,4.76,4.81,2.94
0.32,Ideal,E,VS2,62,54,900,4.41,4.37,2.72
1.02,Very Good,E,VS2,59.2,58,6612,6.52,6.58,3.88
1.02,Very Good,E,VS1,58.9,59,7253,6.52,6.65,3.88
1.01,Premium,E,SI2,59.6,61,4434,6.59,6.56,3.92
0.73,Ideal,E,SI1,61.5,56,3453,5.79,5.82,3.57
2,Premium,E,SI2,61.8,56,18426,8.12,8.05,5
0.31,Ideal,E,SI1,62.4,57,698,4.34,4.31,2.7
0.32,Ideal,E,VVS2,60.8,57,1080,4.46,4.42,2.7
